run#,time,req/s,cpu,mem
0,662.85,25.65,NaN,NaN
1,263.59,64.50,NaN,NaN
2,259.26,65.57,NaN,NaN
3,245.19,69.33,NaN,NaN
4,236.14,71.99,NaN,NaN
5,253.20,67.14,NaN,NaN
6,240.41,70.71,NaN,NaN
7,227.64,74.68,NaN,NaN
8,254.52,66.79,NaN,NaN
9,228.28,74.47,NaN,NaN
10,263.59,64.49,NaN,NaN
11,258.03,65.88,NaN,NaN
12,232.76,73.04,NaN,NaN
13,230.79,73.66,NaN,NaN
14,256.52,66.27,NaN,NaN
15,238.59,71.25,NaN,NaN
16,243.47,69.82,NaN,NaN
17,220.83,76.98,NaN,NaN
18,270.28,62.90,NaN,NaN
19,252.23,67.40,NaN,NaN
20,248.81,68.33,NaN,NaN
21,244.33,69.58,NaN,NaN
22,240.74,70.62,NaN,NaN
23,258.44,65.78,NaN,NaN
24,288.72,58.88,NaN,NaN
25,230.27,73.83,NaN,NaN
26,241.86,70.29,NaN,NaN
27,233.92,72.67,NaN,NaN
28,234.93,72.36,NaN,NaN
29,233.92,72.67,NaN,NaN
30,217.04,78.33,NaN,NaN
31,259.07,65.62,NaN,NaN
32,242.16,70.20,NaN,NaN
33,227.30,74.79,NaN,NaN
34,226.92,74.92,NaN,NaN
35,229.35,74.12,NaN,NaN
36,256.11,66.38,NaN,NaN
37,257.37,66.05,NaN,NaN
38,247.49,68.69,NaN,NaN
39,245.34,69.29,NaN,NaN
40,229.40,74.11,NaN,NaN
41,221.05,76.91,NaN,NaN
42,245.94,69.12,NaN,NaN
43,249.90,68.03,NaN,NaN
44,250.21,67.94,NaN,NaN
45,214.89,79.11,NaN,NaN
46,277.16,61.34,NaN,NaN
47,325.31,52.26,NaN,NaN
48,285.61,59.52,NaN,NaN
49,227.21,74.82,NaN,NaN
50,259.48,65.51,NaN,NaN
51,245.72,69.19,NaN,NaN
52,264.83,64.19,NaN,NaN
53,244.97,69.40,NaN,NaN
54,244.52,69.52,NaN,NaN
55,251.46,67.60,NaN,NaN
56,244.22,69.61,NaN,NaN
57,229.39,74.11,NaN,NaN
58,258.14,65.85,NaN,NaN
59,251.07,67.71,NaN,NaN
60,264.21,64.34,NaN,NaN
61,256.58,66.26,NaN,NaN
62,229.80,73.98,NaN,NaN
63,242.29,70.16,NaN,NaN
64,212.74,79.91,NaN,NaN
65,218.14,77.93,NaN,NaN
66,255.45,66.55,NaN,NaN
67,255.43,66.55,NaN,NaN
68,240.54,70.67,NaN,NaN
69,265.87,63.94,NaN,NaN
70,249.44,68.15,NaN,NaN
71,298.63,56.93,NaN,NaN
72,252.39,67.36,NaN,NaN
73,263.21,64.59,NaN,NaN
74,223.20,76.16,NaN,NaN
75,230.27,73.83,NaN,NaN
76,236.96,71.74,NaN,NaN
77,234.85,72.39,NaN,NaN
78,234.14,72.61,NaN,NaN
79,238.34,71.33,NaN,NaN
80,222.60,76.37,NaN,NaN
81,227.75,74.64,NaN,NaN
82,237.18,71.68,NaN,NaN
83,300.46,56.58,NaN,NaN
84,280.21,60.67,NaN,NaN
85,249.64,68.10,NaN,NaN
86,267.93,63.45,NaN,NaN
87,259.67,65.47,NaN,NaN
88,284.92,59.66,NaN,NaN
89,237.81,71.49,NaN,NaN
90,227.99,74.56,NaN,NaN
91,282.39,60.20,NaN,NaN
92,288.49,58.93,NaN,NaN
93,285.47,59.55,NaN,NaN
